rougeLsum,length,str_em,Disambig-F1
42.97520661157024,132.0,66.66666666666666,33.33333333333333
41.66666666666667,86.0,66.66666666666666,66.66666666666666
52.348993288590606,85.0,100.0,75.0
65.9090909090909,78.0,66.66666666666666,50.0
38.775510204081634,64.0,100.0,50.0
39.252336448598136,124.0,75.0,75.0
27.027027027027028,85.0,50.0,25.0
20.57142857142857,116.0,100.0,100.0
41.221374045801525,84.0,100.0,100.0
24.82758620689655,84.0,50.0,50.0
33.92857142857143,114.0,0.0,10.0
44.66019417475728,37.0,50.0,72.22222222222221
47.5,82.0,100.0,44.44444444444445
36.36363636363636,117.0,33.33333333333333,22.22222222222222
30.952380952380953,103.0,50.0,54.166666666666664
51.37614678899083,47.0,66.66666666666666,33.33333333333333
42.79835390946502,124.0,50.0,50.0
35.67567567567568,135.0,50.0,20.0
71.23287671232875,32.0,100.0,100.0
43.29896907216495,83.0,66.66666666666666,0.0
